cosmic_signature,observed_cosine,null_n,null_median,null_p95,null_max,margin_over_null_p95,null_times_reached_observed,p_value,fdr,beats_chance_fdr5,cosine_at_least_0.85,explained_at_0.85,cosine_at_least_0.9,explained_at_0.9,cosine_at_least_0.95,explained_at_0.95
SBS88,0.99,1000,0.48,0.63,0.74,0.36,0,0.000999000999000999,0.003880734649965419,True,True,True,True,True,True,True
SBS35,0.93,1000,0.59,0.71,0.83,0.22,0,0.000999000999000999,0.003880734649965419,True,True,True,True,True,False,False
SBS90,1.0,1000,0.49,0.81,0.93,0.19,0,0.000999000999000999,0.003880734649965419,True,True,True,True,True,True,True
SBS11,0.99,1000,0.7,0.8,0.89,0.19,0,0.000999000999000999,0.003880734649965419,True,True,True,True,True,True,True
SBS98,0.84,1000,0.44,0.65,0.8,0.19,0,0.000999000999000999,0.003880734649965419,True,False,False,False,False,False,False
SBS31,0.94,1000,0.62,0.77,0.9,0.17,0,0.000999000999000999,0.003880734649965419,True,True,True,True,True,False,False
SBS47,0.82,1000,0.44,0.65,0.81,0.17,0,0.000999000999000999,0.003880734649965419,True,False,False,False,False,False,False
SBS7b,0.93,1000,0.63,0.77,0.88,0.16,0,0.000999000999000999,0.003880734649965419,True,True,True,True,True,False,False
SBS85,0.89,1000,0.61,0.74,0.84,0.15,0,0.000999000999000999,0.003880734649965419,True,True,True,False,False,False,False
SBS7a,0.93,1000,0.565,0.79,0.9,0.14,0,0.000999000999000999,0.003880734649965419,True,True,True,True,True,False,False
SBS16,0.82,1000,0.5,0.68,0.81,0.14,0,0.000999000999000999,0.003880734649965419,True,False,False,False,False,False,False
SBS41,0.86,1000,0.53,0.73,0.86,0.13,2,0.002997002997002997,0.00945929070929071,True,True,True,False,False,False,False
SBS22c,0.91,1000,0.67,0.78,0.85,0.13,0,0.000999000999000999,0.003880734649965419,True,True,True,True,True,False,False
SBS45,0.95,1000,0.635,0.82,0.96,0.13,1,0.001998001998001998,0.006726606726606727,True,True,True,True,True,True,True
SBS38,0.9,1000,0.58,0.78,0.95,0.12,3,0.003996003996003996,0.011531325817040102,True,True,True,True,True,False,False
SBS22a,0.98,1000,0.7,0.86,0.92,0.12,0,0.000999000999000999,0.003880734649965419,True,True,True,True,True,True,True
SBS51,0.78,1000,0.48,0.66,0.78,0.12,1,0.001998001998001998,0.006726606726606727,True,False,False,False,False,False,False
SBS58,0.83,1000,0.55,0.72,0.86,0.11,1,0.001998001998001998,0.006726606726606727,True,False,False,False,False,False,False
SBS22b,0.94,1000,0.68,0.83,0.9,0.11,0,0.000999000999000999,0.003880734649965419,True,True,True,True,True,False,False
SBS92,0.9,1000,0.74,0.81,0.87,0.09,0,0.000999000999000999,0.003880734649965419,True,True,True,True,True,False,False
SBS101,0.93,1000,0.7,0.84,0.91,0.09,0,0.000999000999000999,0.003880734649965419,True,True,True,True,True,False,False
SBS109,0.93,1000,0.78,0.85,0.92,0.08,0,0.000999000999000999,0.003880734649965419,True,True,True,True,True,False,False
SBS95,0.97,1000,0.81,0.89,0.95,0.08,0,0.000999000999000999,0.003880734649965419,True,True,True,True,True,True,True
SBS4,0.97,1000,0.8,0.89,0.95,0.08,0,0.000999000999000999,0.003880734649965419,True,True,True,True,True,True,True
SBS100,0.97,1000,0.81,0.89,0.94,0.08,0,0.000999000999000999,0.003880734649965419,True,True,True,True,True,True,True
SBS112,0.9,1000,0.75,0.83,0.89,0.07,0,0.000999000999000999,0.003880734649965419,True,True,True,True,True,False,False
SBS94,0.91,1000,0.72,0.84,0.91,0.07,1,0.001998001998001998,0.006726606726606727,True,True,True,True,True,False,False
SBS111,0.85,1000,0.68,0.78,0.87,0.07,3,0.003996003996003996,0.011531325817040102,True,True,True,False,False,False,False
SBS89,0.8,1000,0.65,0.73,0.79,0.07,0,0.000999000999000999,0.003880734649965419,True,False,False,False,False,False,False
SBS36,0.92,1000,0.69,0.85,0.95,0.07,8,0.008991008991008992,0.022148583124192885,True,True,True,True,True,False,False
SBS25,0.93,1000,0.77,0.86,0.91,0.07,0,0.000999000999000999,0.003880734649965419,True,True,True,True,True,False,False
SBS104,0.72,1000,0.55,0.65,0.75,0.07,4,0.004995004995004995,0.013276197486723804,True,False,False,False,False,False,False
SBS40a,0.94,1000,0.84,0.87,0.91,0.07,0,0.000999000999000999,0.003880734649965419,True,True,True,True,True,False,False
SBS5,0.96,1000,0.86,0.9,0.93,0.06,0,0.000999000999000999,0.003880734649965419,True,True,True,True,True,True,True
SBS9,0.7,1000,0.56,0.64,0.73,0.06,5,0.005994005994005994,0.015522938599861678,True,False,False,False,False,False,False
SBS24,0.93,1000,0.77,0.87,0.92,0.06,0,0.000999000999000999,0.003880734649965419,True,True,True,True,True,False,False
SBS18,0.94,1000,0.74,0.88,0.94,0.06,3,0.003996003996003996,0.011531325817040102,True,True,True,True,True,False,False
SBS113,0.82,1000,0.56,0.7605,0.91,0.0595,23,0.023976023976023976,0.04656881579958504,True,False,False,False,False,False,False
SBS10c,0.83,1000,0.59,0.78,0.89,0.05,14,0.014985014985014986,0.032201840712479016,True,False,False,False,False,False,False
SBS23,0.87,1000,0.7,0.82,0.95,0.05,9,0.00999000999000999,0.02346490718583742,True,True,True,False,False,False,False
SBS57,0.64,1000,0.46,0.59,0.79,0.05,11,0.011988011988011988,0.02690642690642691,True,False,False,False,False,False,False
SBS1,0.79,1000,0.51,0.74,0.92,0.05,21,0.02197802197802198,0.044395604395604395,True,False,False,False,False,False,False
SBS40b,0.76,1000,0.65,0.72,0.77,0.04,7,0.007992007992007992,0.02017982017982018,True,False,False,False,False,False,False
SBS8,0.9,1000,0.8,0.86,0.92,0.04,4,0.004995004995004995,0.013276197486723804,True,True,True,True,True,False,False
SBS87,0.76,1000,0.54,0.72,0.8,0.04,21,0.02197802197802198,0.044395604395604395,True,False,False,False,False,False,False
SBS3,0.86,1000,0.74,0.8205,0.89,0.0395,9,0.00999000999000999,0.02346490718583742,True,True,True,False,False,False,False
SBS29,0.93,1000,0.81,0.9,0.96,0.03,12,0.012987012987012988,0.028514963297571996,True,True,True,True,True,False,False
SBS93,0.7,1000,0.57,0.67,0.76,0.03,23,0.023976023976023976,0.04656881579958504,True,False,False,False,False,False,False
SBS40c,0.91,1000,0.85,0.88,0.91,0.03,2,0.002997002997002997,0.00945929070929071,True,True,True,True,True,False,False
SBS108,0.83,1000,0.72,0.81,0.91,0.02,28,0.028971028971028972,0.05418655418655419,False,False,False,False,False,False,False
SBS19,0.85,1000,0.65,0.83,0.92,0.02,30,0.030969030969030968,0.056870402324947784,False,True,False,False,False,False,False
SBS37,0.82,1000,0.72,0.8,0.85,0.02,17,0.017982017982017984,0.03783716283716284,True,False,False,False,False,False,False
SBS28,0.43,1000,0.21,0.41,0.43,0.02,11,0.011988011988011988,0.02690642690642691,True,False,False,False,False,False,False
SBS102,0.96,1000,0.92,0.94,0.96,0.02,4,0.004995004995004995,0.013276197486723804,True,True,True,True,True,True,True
SBS43,0.46,1000,0.31,0.45,0.63,0.01,42,0.04295704295704296,0.0774760953332382,False,False,False,False,False,False,False
SBS12,0.91,1000,0.85,0.9,0.95,0.01,24,0.024975024975024976,0.047593915518443816,True,True,True,True,True,False,False
SBS105,0.75,1000,0.66,0.74,0.86,0.01,47,0.04795204795204795,0.08496766391503234,False,False,False,False,False,False,False
SBS55,0.42,1000,0.27,0.42,0.5,0.0,51,0.05194805194805195,0.09046126287505599,False,False,False,False,False,False,False
SBS56,0.77,1000,0.58,0.77,0.95,0.0,61,0.061938061938061936,0.10426240426240427,False,False,False,False,False,False,False
SBS53,0.75,1000,0.56,0.75,0.87,0.0,56,0.056943056943056944,0.09747879239404664,False,False,False,False,False,False,False
SBS20,0.74,1000,0.54,0.75,0.9,-0.01,68,0.06893106893106893,0.11413176986947478,False,False,False,False,False,False,False
SBS30,0.86,1000,0.78,0.87,0.92,-0.01,91,0.0919080919080919,0.13854801914503406,False,True,False,False,False,False,False
SBS26,0.88,1000,0.82,0.89,0.94,-0.01,85,0.08591408591408592,0.13349727195881042,False,True,False,False,False,False,False
SBS96,0.75,1000,0.69,0.76,0.83,-0.01,115,0.11588411588411589,0.1672042243470815,False,False,False,False,False,False,False
SBS10d,0.75,1000,0.56,0.77,0.93,-0.02,81,0.08191808191808192,0.13132898847184563,False,False,False,False,False,False,False
SBS42,0.79,1000,0.66,0.81,0.89,-0.02,93,0.0939060939060939,0.13947816888993358,False,False,False,False,False,False,False
SBS50,0.68,1000,0.535,0.7,0.84,-0.02,83,0.08391608391608392,0.13243006993006995,False,False,False,False,False,False,False
SBS84,0.73,1000,0.63,0.76,0.86,-0.03,139,0.13986013986013987,0.19895597360386094,False,False,False,False,False,False,False
SBS32,0.81,1000,0.75,0.84,0.94,-0.03,170,0.17082917082917082,0.22407462667202926,False,False,False,False,False,False,False
SBS21,0.74,1000,0.6,0.77,0.89,-0.03,111,0.11188811188811189,0.16377825073477245,False,False,False,False,False,False,False
SBS107,0.73,1000,0.655,0.77,0.9,-0.04,164,0.16483516483516483,0.221978021978022,False,False,False,False,False,False,False
SBS110,0.86,1000,0.84,0.9,0.94,-0.04,356,0.35664335664335667,0.42882117882117887,False,True,False,False,False,False,False
SBS34,0.76,1000,0.51,0.8,0.92,-0.04,88,0.08891108891108891,0.13606090878818153,False,False,False,False,False,False,False
